, Activity Name,Start,Distance,total_time,Elevation Loss,Avg Pace,Elevation Gain,Steps,Avg Temp,Net Elevation,mph,total_duration,moving pace,moving time,,
17, Farmer City_Henning_IL_44,5/6/2016 5:53,55.21,11:43:16,587,12.36,659,109798,76.0,72,4.76,703,11.91666667,10.88,,
16, HenningIL_LafayetteIN_45a,5/7/2016 6:12,51.11,10:57:02,1119,12.48,1201,101670,71.0,82,4.69,657,12.08333333,12.20,,
15, Lafayette_ElwoodIN_46,5/8/2016 6:54,50.21,10:50:59,394,12.53,384,100770,66.5,-10,4.66,650,12.35,9.95,,
14, Elwood_UnionCity IN_47,5/9/2016 7:09,50.18,11:51:50,863,14.11,955,99510,66.1,92,4.23,711,12.91666667,10.80,,
13, Union CityIN_SidneyOH_48,5/10/2016 7:04,52.48,11:54:35,1152,13.37,1142,103118,70.5,-10,4.41,714,12.63333333,11.03,,
12, Sidney_MarionOH_49,5/11/2016 6:51,51.99,11:01:57,1362,12.42,1319,104550,74.0,-43,4.72,661,12,10.37,,
11, Marion_MtVernonOH_50,5/12/2016 7:16,51.22,11:50:58,1204,13.53,1512,105120,81.2,308,4.32,710,12.91666667,11.02,,
10, MtVernon_SugarCreek_OH_51,5/13/2016 6:38,54.12,11:37:33,3166,12.53,3064,107018,74.6,-102,4.66,697,11.98333333,10.80,,
9, Sugarcreek_Salineville_52,5/14/2016 6:51,50.4,11:41:20,2556,13.50,2333,99174,67.5,-223,4.34,701,12.75,10.62,,
8, Salineveille OH_CranberryTwp PA_53,5/15/2016 7:18,51.13,11:57:33,3081,14.02,3159,105956,60.6,78,4.28,717,12.95,11.02,,
7, Cranberry_Indiana_PA_54,5/16/2016 6:32,51.07,11:53:25,4341,13.58,4252,102158,71.0,-89,4.30,713,12.75,10.85,,
6, Indiana_strongstownPA_55,5/17/2016 6:46,51,11:26:01,3363,13.27,4751,102426,69.2,1388,4.46,686,12.65,10.73,,
5, Creasson_MtUnionPA_56,5/18/2016 6:34,50.52,11:55:08,4203,14.21,2451,102018,68.0,-1752,4.18,715,14.35,10.68,,
4, MtUnion_ThompsontownPA_56,5/19/2016 6:49,50.01,11:01:27,2277,13.04,2176,99486,76.0,-101,4.59,661,12.75,10.08,,
3,thompsontown_TowerCityPA_57,5/20/2016 6:48,52.22,12:09:25,2802,15.55,3284,103684,78.0,482,3.77,729,13.91666667,10.90,,
2, TowerCity_Andreas_59,5/21/2016 6:47,50.09,11:42:08,3143,14.01,3238,99828,67.9,95,4.28,702,14.01666667,10.68,,
1, AndreasPA_HackettstownNJ_60,5/22/2016 6:43,60.76,12:44:11,3205,12.34,3123,116274,71.1,-82,4.77,764,11.53333333,11.67,,
0, HackettstownNJ_CityHallNY_60,5/23/2016 3:07,70.57,16:28:07 AM,4058,14.00,3550,136836,73.4,-508,4.29,988,12.33333333,14.50,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
