 Activity Name,Start,Distance,Time,Elevation Loss,Avg Pace,Elevation Gain,Steps,Avg Temp,Net Elevation
 ShowLow_Springerville_15,"Thu, Apr 7, 2016 5:54 AM",51.01,11:08:52,"2,254",13:07,"3,219",97578,71.6,965
 heber_Show Low_14,"Wed, Apr 6, 2016 6:04 AM",51.1,11:22:00,"3,179",13:21,"2,329",100786,71.1,-850
 Payson_Heber Overgaard_13,"Tue, Apr 5, 2016 5:47 AM",50.01,11:54:29,"1,673",14:17,"4,911",98384,74.1,3238
 fountain hills_Payson_12,"Mon, Apr 4, 2016 5:31 AM",51.2,11:49:32,"3,192",13:52,"5,633",96536,84.1,2441
 Anthem_Fountain Hills_11,"Sun, Apr 3, 2016 5:08 AM",51.31,12:16:17,"2,031",14:21,"1,988",96288,84.8,-43
 Wickenburg_Fountain Hills_10,"Sat, Apr 2, 2016 4:58 AM",51.3,13:00:05,"2,090",15:12,"1,444",95878,79.2,-646
 Salome_Wickenburg AZ_09,"Fri, Apr 1, 2016 5:49 AM",50.03,11:56:17,253,14:19,"1,266",96696,78.1,1013
 Parker_Salome_08,"Thu, Mar 31, 2016 5:29 AM",50.1,12:02:41,794,14:26,"1,598",102948,76.9,804
 Parker AZ_07,"Wed, Mar 30, 2016 1:32 AM",55.01,14:01:50,"1,575",15:18,735,115022,69.7,-840
 twentynine palms_06,"Tue, Mar 29, 2016 10:05 AM",16.82,3:49:00,"1,424",15:35,610,31100,77,-814
 Joshua Tree+50mi_05,"Mon, Mar 28, 2016 5:58 AM",50,10:54:56,"1,972",13:06,"1,621",103994,74.8,-351
 Beaumont_Joshua Tree 04,"Sun, Mar 27, 2016 4:50 AM",50.01,10:41:36,"2,828",12:50,"3,054",93332,75.6,226
 Riverside_Beaumont_03,"Sat, Mar 26, 2016 4:10 AM",50.26,13:21:01,"1,512",15:56,"3,130",99004,74.8,1618
 CityHall_Riverside_02,"Fri, Mar 25, 2016 6:35 AM",50.17,10:25:19,"1,358",15:34,"1,942",73290,80.4,584
 SantaMonica_LACityHall_01,"Thu, Mar 24, 2016 9:00 AM",17.15,4:29:38,449,14:05,817,31724,85.9,368
